name,year,place,chef,category,location,ranking
Wine Library TV/Wine Library,2010,Wine Library TV/Wine Library,Gary Vaynerchuk,Outstanding Wine & Spirits Professional,"Springfield, New Jersey",Semifinalist
Bin 36,2010,Bin 36,Brian Duncan,Outstanding Wine & Spirits Professional,"Chicago, Illinois",Semifinalist
Range,2010,Range,Michelle Polzine,Outstanding Pastry Chef,"San Francisco, California",Semifinalist
Chipotle Mexican Grill,2010,Chipotle Mexican Grill,Steve Ells,Outstanding Restaurateur,"Denver, Colorado",Semifinalist
Table,2010,Table,Jacob Sessoms,Best Chef: Southeast,"Asheville, North Carolina",Semifinalist
Volt,2010,Volt,Bryan Voltaggio,Best Chef: Mid-Atlantic,"Frederick, Maryland",Nominee
Restaurant Iris,2010,Restaurant Iris,Kelly English,Best Chef: Southeast,"Memphis, Tennessee",Semifinalist
June,2010,June,Josh Adams,Rising Star Chef of the Year,"Peoria Heights, Illinois",Semifinalist
Dinette,2010,Dinette,Sonja Finn,Rising Star Chef of the Year,"Pittsburgh, Pennsylvania",Semifinalist
Maison Blanche,2010,Maison Blanche,Jose Martinez,Best Chef: South,"Longboat Key, Florida",Semifinalist
Beast,2010,Beast,Naomi Pomeroy,Best Chef: Northwest,,Nominee
K Restaurant Wine Bar,2010,K Restaurant Wine Bar,Kevin Fonzo,Best Chef: South,"Orlando, Florida",Semifinalist
"Dahlia Bakery, Dahlia Lounge, Etta's, Lola, Palace Kitchen, Serious Pie",2010,"Dahlia Bakery, Dahlia Lounge, Etta's, Lola, Palace Kitchen, Serious Pie",Tom Douglas,Outstanding Restaurateur,"Seattle, Washington",Nominee
Choice Market,2010,Choice Market,Evan Douglis Studio,Outstanding Restaurant Design,"Brooklyn, New York",Nominee
Centro,2010,Centro,George Formaro,Best Chef: Midwest,"Des Moines, Iowa",Semifinalist
Locande Verde,2010,Locande Verde,,Best New Restaurant,"New York, New York",Nominee
Adesso,2010,Adesso,,Best New Restaurant,"Oakland, California",Semifinalist
Aerie Restaurant & Lounge at Grand Traverse Resort & Spa,2010,Aerie Restaurant & Lounge at Grand Traverse Resort & Spa,,Outstanding Service,"Acme, Michigan",Semifinalist
La Mer at Halekulani,2010,La Mer at Halekulani,,Outstanding Service,"Honolulu, Hawaii",Semifinalist
Carlos',2010,Carlos',,Outstanding Service,"Highland Park, Illinois",Semifinalist
Arrows,2010,Arrows,Clark Frasier,Best Chef: Northeast,"Ogunquit, Maine",Winner
Vincent,2010,Vincent,Vincent Francoual,Best Chef: Midwest,"Minneapolis, Minnesota",Semifinalist
Straight Wharf Restaurant,2010,Straight Wharf Restaurant,Gabriel Frasca,Best Chef: Northeast,"Nantucket, Massachusetts",Semifinalist
Dovetail,2010,Dovetail,John Fraser,Best Chef: New York City,"New York, New York",Semifinalist
Hiroshi Eurasian Tapas,2010,Hiroshi Eurasian Tapas,Hiroshi Fukui,Best Chef: Pacific,"Honolulu, Hawaii",Semifinalist
J & G Steakhouse,2010,J & G Steakhouse,,Best New Restaurant,"Washington, District of Columbia",Semifinalist
Frances,2010,Frances,,Best New Restaurant,"San Francisco, California",Nominee
Il Capriccio,2010,Il Capriccio,,Outstanding Wine Service,"Waltham, Massachusetts",Semifinalist
Anchovies & Olives,2010,Anchovies & Olives,,Best New Restaurant,"Seattle, Washington",Semifinalist
Joe's,2010,Joe's,Beverly Gannon,Best Chef: Pacific,"Wailea, Hawaii",Semifinalist
Rio Mar,2010,Rio Mar,Adolfo Garcia,Best Chef: South,"New Orleans, Louisiana",Semifinalist
Restaurant Charlie at the Palazzo,2010,Restaurant Charlie at the Palazzo,Vanessa Garcia,Rising Star Chef of the Year,"Las Vegas, Nevada",Semifinalist
Good Food on Montford,2010,Good Food on Montford,,Best New Restaurant,"Charlotte, North Carolina",Semifinalist
Koo Zoo Doo,2010,Koo Zoo Doo,,Best New Restaurant,"Philadelphia, Pennsylvania",Semifinalist
RN74,2010,RN74,,Best New Restaurant,"San Francisco, California",Nominee
The Standard Grill,2010,The Standard Grill,Pandiscio Co.,Outstanding Restaurant Graphics,"New York, New York",Winner
Eventide,2010,Eventide,,Best New Restaurant,"Arlington, Virginia",Semifinalist
Quilceda Creek,2010,Quilceda Creek,Alex Golitzin,Outstanding Wine & Spirits Professional,"Snohomish, Washington",Semifinalist
Goode Company Restaurants,2010,Goode Company Restaurants,Jim Goode,Outstanding Restaurateur,"Houston, Texas",Semifinalist
Cibo Matto at the Wit,2010,Cibo Matto at the Wit,,Best New Restaurant,"Chicago, Illinois",Semifinalist
BLT Steak at the Betsy Hotel,2010,BLT Steak at the Betsy Hotel,Sam Gorenstein,Rising Star Chef of the Year,"MIami Beach, Florida",Semifinalist
Tria Restaurants and Fermentation School,2010,Tria Restaurants and Fermentation School,Michael McCaulley,Outstanding Wine & Spirits Professional,"Philadelphia, Pennsylvania",Semifinalist
"Boulevard, Epic, Farallon, Jardiniere, Martini House, Nick's Cove & Cottages, and Waterbar",2010,"Boulevard, Epic, Farallon, Jardiniere, Martini House, Nick's Cove & Cottages, and Waterbar",Pat Kuleto,Outstanding Restaurateur,"San Francisco, California",Nominee
Bistro Aix,2010,Bistro Aix,Tom Gray,Best Chef: South,"Jacksonville, Florida",Semifinalist
Pigalle,2010,Pigalle,Marc Orfaly,Best Chef: Northeast,"Boston, Massachusetts",Nominee
The Brooklyn Brewery,2010,The Brooklyn Brewery,Garrett Oliver,Outstanding Wine & Spirits Professional,"Brooklyn, New York",Nominee
Vincent's on Camelback,2010,Vincent's on Camelback,,Outstanding Restaurant,"Phoenix, Arizona",Semifinalist
Wallse,2010,Wallse,Kurt Gutenbrunner,Best Chef: New York City,"New York, New York",Semifinalist
York Street,2010,York Street,Sharon Hage,Best Chef: Southwest,"Dallas, Texas",Semifinalist
The Fountain Restaurant at Four Seasons,2010,The Fountain Restaurant at Four Seasons,,Outstanding Service,"Philadelphia, Pennsylvania",Semifinalist
La Becasse,2010,La Becasse,Guillaume Hazael-Massieux,Best Chef: Great Lakes,"Maple City, Michigan",Semifinalist
Kauai Grill at the St. Regis Princeville,2010,Kauai Grill at the St. Regis Princeville,Colin Hazama,Rising Star Chef of the Year,"Kaua'i, Hawaii",Semifinalist
Minibar,2010,Minibar,José Andrés,Outstanding Chef,"Washington, District of Columbia",Nominee
Sea Bar,2010,Sea Bar,Michael Andrzejewski,Best Chef: Northeast,"Buffalo, New York",Semifinalist
WD-50,2010,WD-50,Wylie Dufresne,Best Chef: New York City,"New York, New York",Nominee
Etoile Restaurant at Domaine Chandon,2010,Etoile Restaurant at Domaine Chandon,Perry Hoffman,Rising Star Chef of the Year,"Yountville, California",Semifinalist
Nobhill Tavern at MGM Grand Hotel & Casino,2010,Nobhill Tavern at MGM Grand Hotel & Casino,,Outstanding Service,"Las Vegas, Nevada",Semifinalist
Glitretind at Stein Eriksen Lodge,2010,Glitretind at Stein Eriksen Lodge,,Outstanding Wine Service,"Park City, Utah",Semifinalist
"Victoria & Albert's, Disney's Grand Floridian Resort & Spa",2010,"Victoria & Albert's, Disney's Grand Floridian Resort & Spa",Scott Hunnel,Best Chef: South,"Orlando, Florida",Semifinalist
RM Seafood at Mandalay Bay Resort & Casino,2010,RM Seafood at Mandalay Bay Resort & Casino,Rick Moonen,Best Chef: Southwest,"Las Vegas, Nevada",Nominee
Bar La Grassa,2010,Bar La Grassa,,Best New Restaurant,"Minneapolis, Minnesota",Semifinalist
Calumet Fisheries,2010,Calumet Fisheries,,America's Classics,"Chicago, Illinois",Winner
Zest,2010,Zest,Linda Duerr,Best Chef: Midwest,"Leawood, Kansas",Semifinalist
Avec,2010,Avec,Koren Grieveson,Best Chef: Great Lakes,"Chicago, Illinois",Winner
"Hearth, Terroir",2010,"Hearth, Terroir",Paul Grieco,Outstanding Wine & Spirits Professional,"New York, New York",Nominee
The French Laundry,2010,The French Laundry,Timothy Hollingsworth,Rising Star Chef of the Year,"Yountville, California",Winner
Wayne Kostroski,2010,Wayne Kostroski,,Humanitarian of the Year,,Winner
James at the Mill,2010,James at the Mill,Miles James,Best Chef: South,"Johnson, Arkansas",Semifinalist
The Perfect Caper,2010,The Perfect Caper,Jeanie Roland,Best Chef: South,"Punta Gorda, Florida",Semifinalist
New Sammy's Cowboy Bistro,2010,New Sammy's Cowboy Bistro,Charlene Rollins,Best Chef: Northwest,"Talent, Oregon",Semifinalist
Osteria,2010,Osteria,Jeff Michaud,Best Chef: Mid-Atlantic,"Philadelphia, Pennsylvania",Winner
Feast,2010,Feast,James Silk,Best Chef: Southwest,"Houston, Texas",Semifinalist
Bay Avenue Trattoria,2010,Bay Avenue Trattoria,Joe Romanowski,Best Chef: Mid-Atlantic,"Highlands, New Jersey",Semifinalist
Restaurant Magnus,2010,Restaurant Magnus,Nicholas Johnson,Best Chef: Midwest,"Madiaon, Wisconsin",Semifinalist
Rendezvous in Central Square,2010,Rendezvous in Central Square,Steve Johnson,Best Chef: Northeast,"Cambridge, Massachusetts",Semifinalist
Mary & Tito's Cafe,2010,Mary & Tito's Cafe,,America's Classics,"Albuquerque, New Mexico",Winner
Everest,2010,Everest,Jean Joho,Outstanding Chef,"Chicago, Illinois",Semifinalist
Bluebird Tavern,2010,Bluebird Tavern,,Best New Restaurant,"Burlington, Vermont",Semifinalist
Mary & Tito's Cafe,2010,Mary & Tito's Cafe,,America's Classics,,Winner
Buckhead Life Restaurant Group,2010,Buckhead Life Restaurant Group,Pano Karatassos,Outstanding Restaurateur,"Atlanta, Georgia",Semifinalist
Rosenthal Wine Merchant/Mad Rose Group,2010,Rosenthal Wine Merchant/Mad Rose Group,Neal Rosenthal,Outstanding Wine & Spirits Professional,"New York, New York",Semifinalist
Jean Georges,2010,Jean Georges,,Outstanding Wine Service,"New York, New York",Winner
Merry Edwards Wines,2010,Merry Edwards Wines,Merry Edwards,Outstanding Wine & Spirits Professional,"Sebastopol, California",Nominee
Studio at Montage Laguna Beach,2010,Studio at Montage Laguna Beach,Craig Strong,Best Chef: Pacific,"Laguna Beach, California",Semifinalist
Venue Bistro,2010,Venue Bistro,James Rugile,Rising Star Chef of the Year,"Denver, Colorado",Semifinalist
Flour & Water,2010,Flour & Water,,Best New Restaurant,"San Francisco, California",Nominee
"Balthazar, Lucky Strike, Minetta Tavern, Morandi, Pastis, Pravda, and Schiller's Liquor Bar",2010,"Balthazar, Lucky Strike, Minetta Tavern, Morandi, Pastis, Pravda, and Schiller's Liquor Bar",Keith McNally,Outstanding Restaurateur,"New York, New York",Winner
Mirabelle at Three Village Inn,2010,Mirabelle at Three Village Inn,Guy Reuge,Best Chef: Northeast,"Stony Brook, New York",Semifinalist
Cafe Besalu,2010,Cafe Besalu,James Miller,Outstanding Pastry Chef,"Seattle, Washington",Semifinalist
Paul McIlhenny,2010,Paul McIlhenny,,Who's Who of Food & Beverage in America,"Avery Island, Louisiana",Winner
The Wright,2010,The Wright,Andre Kikoski Architect,Outstanding Restaurant Design,"New York, New York",Winner
Urbanbelly,2010,Urbanbelly,Bill Kim,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Bouchon,2010,Bouchon,,Outstanding Restaurant,"Yountville, California",Semifinalist
Jessica Harris,2010,Jessica Harris,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Ninety Acres at Natirar,2010,Ninety Acres at Natirar,,Best New Restaurant,"Peapack-Gladstone, New Jersey",Semifinalist
Moore Brothers Wine Company,2010,Moore Brothers Wine Company,Gregory Moore,Outstanding Wine & Spirits Professional,"Pennsauken, New Jersey",Semifinalist
