name,year,place,chef,category,location,ranking
Table X Restaurant,2020,Table X Restaurant,Nick Fahs,Best Chef: Mountain,"Salt Lake City, Utah",Semifinalist
Spuntino,2020,Spuntino,Cindhura Reddy,Best Chef: Mountain,"Denver, Colorado",Semifinalist
Super Mega Bien,2020,Super Mega Bien,Dana Rodriguez,Best Chef: Mountain,"Denver, Colorado",Nominee
HALL by o.d.o,2020,HALL by o.d.o,SIMPLICITY,Outstanding Restaurant Design (75 Seats and Under),"New York, New York",Nominee
Shore Leave,2020,Shore Leave,Hacin + Associates,Outstanding Restaurant Design (76 Seats and Over),"Boston, Massachusetts",Nominee
Swan & Bar Bevy,2020,Swan & Bar Bevy,Ken Fulk Inc,Outstanding Restaurant Design (76 Seats and Over),"Miami, Florida",Nominee
Fisher's at Orange Beach Marina,2020,Fisher's at Orange Beach Marina,Bill Briand,Best Chef: South,"Orange Beach, Alabama",Semifinalist
Lazy betty,2020,Lazy betty,,Best New Restaurant,"Atlanta, Georgia",Semifinalist
Wildair,2020,Wildair,Jeremiah Stone,Best Chef: New York State,"New York, New York",Semifinalist
Spoonbill Watering Hole & Restaurant,2020,Spoonbill Watering Hole & Restaurant,"Vermillion Architects, LLC",Outstanding Restaurant Design (75 Seats and Under),"Lafayette, Louisiana",Nominee
Spoonbill Watering Hole & Restaurant,2020,Spoonbill Watering Hole & Restaurant,Flywheel Co.,Outstanding Restaurant Design (75 Seats and Under),"Houston, Texas",Nominee
La Diosa de los Moles,2020,La Diosa de los Moles,Rocío Camacho,Best Chef: California,"Paramount, California",Semifinalist
By Tae,2020,By Tae,Sun Hong,Best Chef: Northwest & Pacific,"Seattle, Washington",Semifinalist
Lula Cafe,2020,Lula Cafe,Jason Hammel,Best Chef: Great Lakes,"Chicago, Illinois",Nominee
Smyth,2020,Smyth,John B. Shields,Best Chef: Great Lakes,"Chicago, Illinois",Nominee
Smyth,2020,Smyth,Karen Shields,Best Chef: Great Lakes,"Chicago, Illinois",Nominee
Larder Delicatessen & Bakery,2020,Larder Delicatessen & Bakery,Kenneth Shane Scott,Best Chef: Great Lakes,"Cleveland, Ohio",Semifinalist
auburn,2020,auburn,Klein Agency,Outstanding Restaurant Design (76 Seats and Over),"Los Angeles, California",Winner
Rupee,2020,Rupee,Heliotrope Architects,Outstanding Restaurant Design (76 Seats and Over),"Seattle, Washington",Winner
Lassis Inn,2020,Lassis Inn,,America's Classics,"Little Rock, Arkansas",Winner
Jessica B Harris,2020,Jessica B Harris,,Lifetime Achievement,,Winner
Frontier,2020,Frontier,Brian Anthony Jupiter,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Marrow,2020,Marrow,Sarah Welch,Best Chef: Great Lakes,"Detroit, Michigan",Semifinalist
Taco Maria,2020,Taco Maria,Carlos Salgado,Best Chef: California,"Costa Mesa, California",Semifinalist
Bavel,2020,Bavel,Genevieve Gergis,Best Chef: California,"Los Angeles, California",Semifinalist
